student_id,application_year,age,graduation_year,department,university_tier,cgpa,english_exam_score,attendance_rate,failed_courses_count,target_role,coding_score,problem_solving_score,data_structures_score,sql_score,machine_learning_score,backend_score,frontend_score,cloud_score,devops_score,project_quality_score,real_client_project_count,internship_count,internship_duration_months,freelance_project_count,hackathon_count,hackathon_awards,portfolio_score,github_repo_count,github_avg_stars,open_source_contribution_count,linkedin_profile_score,cv_quality_score,technical_interview_score,hr_interview_score,communication_score,teamwork_score,leadership_score,presentation_score,certification_count,bootcamp_count,applications_sent,interviews_attended,hobby,preferred_social_media_platform,career_success_score,mentor_feedback_text
STU_000001,2021,21,2021,0,3,3.17,62.54,77.31,0,6,73.28,71.11,52.91,84.98,81.77,62.71,71.57,63.0418967196188,69.95262519537874,81.9,0,3,11.0,0,0,0,65.54,18,1.85,10.0,86.58,42.06,40.57,50.29,79.83,44.14,62.7,58.84,3,1,24,0,5,1,86.78,5115
STU_000002,2024,20,2024,0,3,3.24,75.1,87.13,3,1,63.12,78.9,61.81,37.45074026721706,65.54,69.94469415047377,60.83,64.51,57.94,24.68,0,0,4.0,1,1,0,54.48,7,1.22,1.0,33.34,65.39,82.99,67.43,43.6,22.05,42.32,40.54,2,0,46,5,6,5,46.16,4045
STU_000003,2024,28,2024,1,3,3.0,68.53,95.64,1,7,100.0,86.44,83.62,85.44,87.18,80.58,96.43314905457584,62.22,81.75,78.92,2,0,0.0,2,0,0,75.1,4,12.12,2.0,61.37,52.25,43.06,20.19,48.62,65.64,47.27,82.56,1,2,46,5,1,2,84.08,9727
STU_000004,2019,22,2018,0,0,2.82,54.85,77.8,2,1,99.08,72.15,77.15,89.21487091371252,69.49,85.75141471000664,72.86,73.68,54.08,54.93,0,1,9.0,0,1,0,82.4,4,2.96,3.0,45.15,24.12,32.06,28.0,59.84,3.89,78.69,85.05,2,4,49,7,7,2,89.97,3658
STU_000005,2026,22,2026,0,2,2.28,72.25,71.97,1,9,92.65,91.15,84.51,70.7,74.11,80.62,86.83,80.34,87.56,72.85,2,0,4.0,2,0,0,48.02,14,0.97,12.0,74.86,74.83,71.82,65.14,63.3,52.86,27.22,84.29,1,0,119,13,2,4,92.46,9656
STU_000006,2022,26,2022,3,1,3.72,94.87,81.44,2,0,64.29,62.56,47.8,51.63,50.07871190813779,55.7,63.86,43.39,55.8,70.19,1,2,8.0,0,2,0,49.59,6,4.14,2.0,67.97,71.3,21.76,66.82,62.88,29.28,47.17,39.38,2,1,53,7,6,2,68.87,902
STU_000007,2023,22,2023,5,1,2.67,71.64,81.34,1,1,53.15,58.43,67.95,61.00828850872216,64.41,52.73552372264761,62.66,67.86,31.65,64.11,0,1,6.0,3,0,0,63.66,17,4.64,10.0,87.7,62.79,84.37,43.16,35.47,33.26,29.55,52.21,1,2,127,18,4,0,78.96,5750
STU_000008,2024,24,2024,1,2,3.66,48.14,89.81,2,6,99.56,90.56,91.65,100.0,85.6,100.0,70.96,100.0,97.40762891478803,36.1,0,2,5.0,1,1,0,58.96,4,2.26,0.0,89.86,97.57,56.81,64.02,71.33,62.42,48.02,70.04,4,1,51,8,5,3,77.43,4657
STU_000009,2023,25,2023,0,3,2.23,40.47,83.14,1,1,76.12,58.96,59.22,83.82338102039073,70.89,73.80847637298844,70.52,70.48,61.49,19.44,0,0,4.0,0,3,1,40.86,3,0.96,2.0,53.557445349335616,44.51,87.52,78.9,91.79,86.72,35.33,84.59,3,0,62,10,5,0,70.15,3788
STU_000010,2019,22,2019,5,2,3.57,25.87,96.14,2,4,36.64,61.2,49.06,67.2035835980062,42.71192167617253,47.51,60.62,51.29,39.43,70.34,0,0,3.0,0,1,0,39.04,0,2.55,3.0,63.96,48.32,86.17,64.42,66.12,57.3,72.37,61.8,4,2,3,0,3,1,69.77,3741
